iter	Logloss
0	0.6347691718
1	0.5913661707
2	0.5554739126
3	0.5312677342
4	0.504221288
5	0.4741086798
6	0.458524429
7	0.4449417373
8	0.4331525235
9	0.4193637999
10	0.409728462
11	0.4025150228
12	0.3974203459
13	0.3890267952
14	0.3762823787
15	0.3720893078
16	0.3670965433
17	0.36389304
18	0.3600694707
19	0.3560167363
20	0.3519039422
21	0.3482405323
22	0.3458833043
23	0.343990712
24	0.3415204187
25	0.3393455376
26	0.337896694
27	0.3352962318
28	0.330324512
29	0.3285680788
30	0.3274693869
31	0.3257639493
32	0.3232576754
33	0.3219921639
34	0.3215086511
35	0.3207765839
36	0.319663685
37	0.3188060794
38	0.318066426
39	0.3166552774
40	0.313875424
41	0.3121975927
42	0.3110558067
43	0.3106280188
44	0.3091119429
45	0.3079758516
46	0.3069250813
47	0.3062756555
48	0.3056349193
49	0.3041129124
50	0.3035627388
51	0.3029114804
52	0.3014942234
53	0.3008087577
54	0.3002071747
55	0.2989794961
56	0.2974394003
57	0.2966088099
58	0.29573548
59	0.2936230035
60	0.2928831727
61	0.2923698665
62	0.2915069014
63	0.2907945388
64	0.2900915163
65	0.2895972645
66	0.2890169034
67	0.2882581956
68	0.2873862056
69	0.2866229066
70	0.2861894831
71	0.2849426516
72	0.2843208319
73	0.2837267367
74	0.2830672023
75	0.2820044123
76	0.2814827119
77	0.2809254644
78	0.2803761381
79	0.2798706941
80	0.27923516
81	0.278048408
82	0.2775585701
83	0.2768518431
84	0.2760483268
85	0.2756570713
86	0.275340654
87	0.2749136936
88	0.2745164085
89	0.2741260002
90	0.273706035
91	0.2728513655
92	0.2720692287
93	0.2714799415
94	0.2701280645
95	0.2693448046
96	0.2687546897
97	0.2681073919
98	0.2676280172
99	0.2671645047
100	0.2665471185
101	0.2661159611
102	0.2659102839
103	0.2654101405
104	0.2645821708
105	0.26382766
106	0.2632422742
107	0.262550168
108	0.262254283
109	0.2614022539
110	0.2605220471
111	0.259291807
112	0.2588033287
113	0.2581214689
114	0.2574070571
115	0.2569218498
116	0.2562725421
117	0.255050972
118	0.2544538422
119	0.2540107241
120	0.2537393122
121	0.2532751494
122	0.2529444463
123	0.2519616177
124	0.251601397
125	0.2511405446
126	0.2502571851
127	0.2497185782
128	0.2491871437
129	0.2487891295
130	0.2481887288
131	0.2478087837
132	0.2471106676
133	0.2462822447
134	0.2455148077
135	0.2450176593
136	0.2445956842
137	0.2440537275
138	0.2435187462
139	0.2432477087
140	0.2426970229
141	0.2422077564
142	0.2417696038
143	0.2415011082
144	0.2410390144
145	0.2406852371
146	0.2402712227
147	0.2396683786
148	0.2390458693
149	0.2384551238
150	0.2381232581
151	0.2378033925
152	0.2373595847
153	0.2369859057
154	0.2364961663
155	0.2360891076
156	0.2358718441
157	0.2353700455
158	0.2350591258
159	0.2345000457
160	0.2339453992
161	0.2334261028
162	0.2330538426
163	0.2325579553
164	0.2322314493
165	0.2316109695
166	0.2308919862
167	0.2307199055
168	0.2300674451
169	0.2298022796
170	0.2295196558
171	0.2290907052
172	0.2286668779
173	0.2279958163
174	0.227611418
175	0.2270390373
176	0.2266794865
177	0.226173412
178	0.225581031
179	0.22524418
180	0.2249655563
181	0.2246424394
182	0.2241588873
183	0.2237313752
184	0.2233394102
185	0.2227533151
186	0.2220548641
187	0.2216024453
188	0.2213462454
189	0.2209858079
190	0.2206901199
191	0.2201238871
192	0.2197231339
193	0.2191245657
194	0.2188007592
195	0.2184960662
196	0.2180274305
197	0.217673929
198	0.2174524684
199	0.2170094291
